排名,片名,分数,评价人数,简评,导演,主演,年份,国家/地区,类型
133,神偷奶爸/DespicableMe/卑鄙的我/坏蛋奖门人(港),8.6,678413,Mr. I Don't Care其实也有Care的时候。, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud, ...,2010,美国 法国,喜剧 动画 冒险
134,"怪兽电力公司/Monsters,Inc./怪兽公司(港)/怪物公司",8.7,440445,不要给它起名字，起了名字就有感情了。, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman, 约...,2001,美国,儿童 喜剧 动画 奇幻 冒险
135,完美的世界/APerfectWorld/强盗保镳,9.1,167532,坏人的好总是比好人的好来得更感人。, 克林特·伊斯特伍德 Clint Eastwood, 凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 犯罪
136,玩具总动员3/ToyStory3/反斗奇兵3(港)/玩具的故事3,8.8,342080,跨度十五年的欢乐与泪水。, 李·昂克里奇 Lee Unkrich, 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险
137,风之谷/風の谷のナウシカ/风谷少女/KazenotaninoNaushika,8.9,273645,动画片的圣经。, 宫崎骏 Hayao Miyazaki, 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险
138,血战钢锯岭/HacksawRidge/钢锯岭/钢铁英雄(台),8.7,559352,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。, 梅尔·吉布森 Mel Gibson, 安德鲁·加菲尔德 Andrew Garfield /...,2016,美国 澳大利亚,剧情 传记 历史 战争
139,上帝之城/CidadedeDeus/无主之城(港)/无法无天(台),8.9,223910,被上帝抛弃了的上帝之城。," 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund??&nbsp...
2002?/?巴西 法国?/?犯罪 剧情",,2002,巴西 法国,犯罪 剧情
140,傲慢与偏见/Pride&Prejudice/傲慢与偏见2005/PrideAndPrejudice,8.6,518898,爱是摈弃傲慢与偏见之后的曙光。, 乔·怀特 Joe Wright, 凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情
141,时空恋旅人/AboutTime/时空旅恋人/回到最爱的一天(港),8.7,373501,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。, 理查德·柯蒂斯 Richard Curtis, 多姆纳尔·格里森 Domhnall Gl...,2013,英国,喜剧 爱情 奇幻
142,电锯惊魂/Saw/夺魂锯(台)/恐惧斗室(港),8.7,343778,真相就在眼前。, 詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖
143,教父3/TheGodfather:PartIII/教父第三集/教父III,8.9,235419,任何信念的力量，都无法改变命运。, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...,1990,美国,剧情 犯罪
144,喜宴/囍宴/TheWeddingBanquet,8.9,231753,中国家庭的喜怒哀乐忍。, 李安 Ang Lee, 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
145,功夫/功夫3D/KungFuHustle,8.5,631662,警恶惩奸，维护世界和平这个任务就交给你了，好吗？, 周星驰 Stephen Chow, 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
146,谍影重重3/TheBourneUltimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台),8.8,298689,像吃了苏打饼一样干脆的电影。, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ...,2007,美国 德国,动作 悬疑 惊悚
147,岁月神偷/歲月神偷/1969太空漫游/EchoesOfTheRainbow,8.7,444320,岁月流逝，来日可追。, 罗启锐 Alex Law, 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭
148,英雄本色/ABetterTomorrow/GanglandBoss,8.7,340510,英雄泪短，兄弟情长。, 吴宇森 John Woo, 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪
149,被解救的姜戈/DjangoUnchained/被解放的姜戈/决杀令(台),8.7,423146,热血沸腾，那个低俗、性感的无耻混蛋又来了。, 昆汀·塔伦蒂诺 Quentin Tarantino, 杰米·福克斯 Jamie Foxx /...,2012,美国,剧情 动作 西部 冒险
150,七武士/七人の侍/七侠四义(港)/TheSevenSamurai,9.2,128563,时代悲歌。, 黑泽明 Akira Kurosawa, 三船敏郎 Toshir? Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情
151,天书奇谭/TheLegendofSealedBook/SecretsoftheHeavenlyBook,9.2,134842,传奇的年代，醉人的童话。, 王树忱 Shuchen Wang / 钱运达 Yunda Qian, 丁建华 Jianhua Din...,1983,中国大陆,动画 奇幻
152,疯狂原始人/TheCroods/古鲁家族(港/台),8.7,600615,老少皆宜，这就是好莱坞动画的魅力。, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,..,2013,美国,喜剧 动画 冒险
153,哪吒闹海/PrinceNezha'sTriumphAgainstDragonKing/Nezhanaohai,9.1,166255,想你时你在闹海。, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang, 梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻
154,我是山姆/IAmSam/不一样的爸爸(港)/他不笨，他是我爸爸(台),8.9,202126,爱并不需要智商 。, 杰茜·尼尔森 Jessie Nelson, Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭
155,心迷宫/殡棺/TheCoffinintheMountain,8.7,334866,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。, 忻钰坤 Yukun Xin, 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑
156,"三块广告牌/ThreeBillboardsOutsideEbbing,Missouri/意外(台)/广告牌杀人事件(港)",8.7,586273,怼天怼地，你走后，她与世界为敌。, 马丁·麦克唐纳 Martin McDonagh, 弗兰西斯·麦克多蒙德 France...,2017,美国 英国,剧情 犯罪
157,萤火虫之墓/火垂るの墓/再见萤火虫(港)/萤火挽歌,8.7,311274,幸福是生生不息，却难以触及的远。, 高畑勋 Isao Takahata, 辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争
158,纵横四海/緃横四海/OnceaThief,8.8,275824,香港浪漫主义警匪动作片的巅峰之作。, 吴宇森 John Woo, 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪
159,真爱至上/LoveActually/爱是您，爱是我(台)/真的恋爱了(港),8.6,507007,爱，是个动词。, 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant / 柯林...,2003,英国 美国 法国,喜剧 剧情 爱情
160,人生果实/人生フルーツ/积存时间的生活(台)/人生水果,9.5,81828,土壤没有落叶不会肥沃，没有了你就不算人生。, 伏原健之 Kenshi Fushihara, 津端修一 Sh?ichi Tsubata / 津...,2017,日本,纪录片
161,达拉斯买家俱乐部/DallasBuyersClub/续命枭雄(港)/药命俱乐部(台),8.8,312357,Jared Leto的腿比女人还美！, 让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性
162,头号玩家/ReadyPlayerOne/玩家一号/挑战者1号(港),8.7,979869,写给影迷，动漫迷和游戏迷的一封情书。, 史蒂文·斯皮尔伯格 Steven Spielberg, 泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险
163,东邪西毒/東邪西毒/AshesofTime,8.6,420514,电影诗。, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
164,荒蛮故事/Relatossalvajes/蛮荒故事/生命中最抓狂的小事(台),8.8,282477,始于荒诞，止于更荒诞。, 达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪
165,爆裂鼓手/Whiplash/鼓动真我(港)/进击的鼓手(台),8.7,382587,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。, 达米恩·查泽雷 Damien Chazelle, 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐
166,记忆碎片/Memento/失忆/记忆拼图(台),8.6,427102,一个针管引发的血案。, 克里斯托弗·诺兰 Christopher Nolan, 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚
167,贫民窟的百万富翁/SlumdogMillionaire/贫民百万富翁(台)/一百万零一夜(港),8.6,553760,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan, 戴夫...,2008,英国 美国,剧情 爱情
168,黑天鹅/BlackSwan/夺命黑天鹅/霸王别鹅(豆友译名),8.6,618477,黑暗之美。, 达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚
169,釜山行/???/尸速列车(台)/尸杀列车(港),8.5,760087,揭露人性的丧尸题材力作。, 延尚昊 Sang-ho Yeon, 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 惊悚 灾难
170,花样年华/花樣年華/IntheMoodforLove,8.6,391481,偷情本没有这样美。, 王家卫 Kar Wai Wong, 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,中国香港,剧情 爱情
171,你的名字。/君の名は。/你的名字/君之名,8.4,939566,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。, 新海诚 Makoto Shinkai, 神木隆之介 Ry?nosuke Kamiki / 上...,2016,日本,剧情 爱情 动画
172,卢旺达饭店/HotelRwanda/卢安达饭店(台),8.9,197672,当这个世界闭上双眼，他却敞开了怀抱。, 特瑞·乔治 Terry George, 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利,剧情 历史 战争
173,忠犬八公物语/ハチ公物語/八千公物语/阿八的故事,9.2,125354,养狗三日，便会对你终其一生。, Seijir? K?yama, 山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987,日本,剧情
174,头脑特工队/InsideOut/玩转脑朋友(港)/脑筋急转弯(台),8.7,402993,愿我们都不用长大，每一座城堡都能永远存在。," 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen??&nb...
2015?/?美国?/?喜剧 动画 冒险",,2015,美国,喜剧 动画 冒险
175,模仿游戏/TheImitationGame/解码游戏(港)/模拟游戏,8.7,417325,他给机器起名“克里斯托弗”，因为这是他初恋的名字。, 莫滕·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性
176,黑客帝国3：矩阵革命/TheMatrixRevolutions/骇客任务完结篇：最后战役/廿二世纪杀人网络3：惊变世纪,8.7,283459,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。, Andy Wachowski / Larry Wachowski, 基努·里维斯 Keanu Reeves...,2003,美国 澳大利亚,动作 科幻
177,雨人/RainMan/手足情未了(港)/手足情深,8.7,300818,生活在自己的世界里，也可以让周围的人显得可笑和渺小。, 巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情
178,一个叫欧维的男人决定去死/EnmansomheterOve/明天别再来敲门(台)/想死冇咁易(港),8.8,246715,惠及一生的美丽。, 汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassg?rd...,2015,瑞典,剧情
179,你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)/你看上去好像很好吃,8.9,238384,感情不分食草或者食肉。, 藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童
180,无敌破坏王/Wreck-ItRalph/破坏王拉尔夫/破坏王大冒险,8.7,366686,迪士尼和皮克斯拿错剧本的产物。, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险
181,未麻的部屋/PerfectBlue/蓝色的恐惧/蓝色恐惧,8.9,179306,好的剧本是，就算你猜到了结局也猜不到全部。, 今敏 Satoshi Kon, 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,动画 奇幻 惊悚
